pair_id,trial_id,correct_sent,wrong_sent,ratio_wrong,avg_len
108_208,12,5,1,0.16666666666666666,3.6666666666666665
108_208,13,5,5,0.5,1.8
108_208,14,2,9,0.8181818181818182,4.454545454545454
108_208,15,3,0,0,4
108_208,16,2,4,0.6666666666666666,3.8333333333333335
108_208,17,3,3,0.5,2.6666666666666665
108_208,18,2,1,0.3333333333333333,4.333333333333333
108_208,19,6,10,0.625,2.9375
108_208,20,6,2,0.25,4.125
108_208,21,2,1,0.3333333333333333,4
108_208,23,4,2,0.3333333333333333,3.6666666666666665
108_208,24,1,3,0.75,3.5
108_208,25,2,1,0.3333333333333333,2.3333333333333335
108_208,26,4,2,0.3333333333333333,4.5
108_208,27,7,2,0.2222222222222222,4.222222222222222
108_208,28,3,0,0,3.3333333333333335
108_208,29,2,1,0.3333333333333333,3
108_208,30,2,0,0,4
108_208,31,1,1,0.5,4
108_208,32,2,5,0.7142857142857143,4.285714285714286
108_208,34,4,2,0.3333333333333333,3
108_208,35,1,2,0.6666666666666666,3
108_208,36,12,15,0.5555555555555556,3.3703703703703702
108_208,37,3,0,0,6.333333333333333
108_208,38,1,3,0.75,7
108_208,39,1,3,0.75,3
108_208,40,2,1,0.3333333333333333,4.333333333333333
108_208,41,2,4,0.6666666666666666,2.1666666666666665
108_208,42,2,1,0.3333333333333333,4.333333333333333
108_208,43,4,3,0.42857142857142855,5.857142857142857
108_208,45,7,1,0.125,2.375
108_208,46,2,3,0.6,4.6
108_208,47,1,2,0.6666666666666666,1.6666666666666667
108_208,48,11,5,0.3125,4.125
108_208,49,2,0,0,3.5
108_208,50,3,1,0.25,4
108_208,51,10,9,0.47368421052631576,4.368421052631579
108_208,52,0,2,1,5.5
108_208,53,0,2,1,3.5
108_208,54,0,3,1,3.5
